energy_tev,v6_relative_uncertainty_percent_raw,v6_relative_uncertainty_percent_birge_pdg,pass5_relative_uncertainty_percent,v6_uncertainty_reduction_percent_raw,v6_uncertainty_reduction_percent_birge_pdg
2.121615437,1.439424667,6.587366855,1.361408979,-5.730510753,-383.8639203
2.15443469,1.4396664,6.588473122,1.372611204,-4.885228666,-379.9955808
2.187761624,1.439839212,6.589263976,1.383192958,-4.095325518,-376.380677
2.221604092,1.439948649,6.589764802,1.393140003,-3.359938377,-373.0152595
2.255970069,1.440000819,6.590003553,1.402440773,-2.678191283,-369.8953198
2.290867653,1.440002395,6.590010767,1.411086221,-2.04921388,-367.0168747
2.326305067,1.439960617,6.589819571,1.419069701,-1.472155739,-364.3760323
2.362290663,1.439883291,6.589465698,1.426386861,-0.9461970399,-361.9690408
2.398832919,1.439778797,6.588987492,1.43303556,-0.4705561568,-359.7923232
2.435940447,1.439656086,6.588425921,1.439015802,-0.04449459914,-357.8424999
2.473621992,1.439524686,6.587824582,1.444329687,0.3326803486,-356.1164007
2.511886432,1.439394698,6.587229706,1.448981376,0.6616150097,-354.6110678
2.550742784,1.4392768,6.586690162,1.452977074,0.9429105195,-353.3237502
2.590200205,1.439182248,6.586257454,1.456325024,1.177125706,-352.2518905
2.630267992,1.43912287,6.585985717,1.459035518,1.364781551,-351.3931044
2.670955588,1.439111068,6.585931705,1.461120914,1.506367191,-350.7451534
2.712272579,1.439159812,6.586154778,1.462595676,1.602347435,-350.3059105
2.754228703,1.439282638,6.586716876,1.463476418,1.653171834,-350.0733183
2.796833846,1.439493638,6.587682494,1.463781957,1.65928535,-350.0453405
2.840098048,1.439807454,6.589118638,1.463533389,1.621140696,-350.2199053
2.884031503,1.440239268,6.591094787,1.462754162,1.53921244,-350.5948408
2.928644565,1.440804788,6.593682829,1.461470166,1.414012985,-351.1678022
2.973947745,1.441520237,6.596956999,1.459709835,1.246110516,-351.9361892
3.01995172,1.44240233,6.600993801,1.457504246,1.03614903,-352.8970545
3.066667331,1.443468261,6.605871917,1.454887243,0.7848705392,-354.0470026
3.114105584,1.444735677,6.611672104,1.451895547,0.493139489,-355.3820773
3.16227766,1.446222652,6.618477081,1.448568891,0.1619694328,-356.8976402
3.211194909,1.447947663,6.626371401,1.444950142,-0.2074481018,-358.5882385
3.260868859,1.449929554,6.635441303,1.44108543,-0.6137126753,-360.4474631
3.311311215,1.452187504,6.645774559,1.43702428,-1.055182167,-362.4677991
3.362533863,1.454740989,6.657460302,1.432819728,-1.52993855,-364.6404689
3.414548874,1.457609744,6.670588839,1.428528437,-2.035752761,-366.9552714
3.467368505,1.460813715,6.685251456,1.424210794,-2.570049395,-369.4004205
3.521005202,1.464373016,6.7015402,1.41993099,-3.129872218,-371.9623873
3.575471605,1.468307878,6.719547658,1.415757074,-3.711851717,-374.6257518
3.630780548,1.472638598,6.739366719,1.411760977,-4.312176206,-377.37307
3.686945065,1.477385487,6.761090328,1.408018495,-4.92656827,-380.1847669
3.74397839,1.482568811,6.784811232,1.404609226,-5.55026861,-383.0390622
3.801893963,1.488208734,6.810621715,1.401616455,-6.178029567,-385.9119403
3.860705432,1.494325264,6.838613331,1.399126975,-6.80412076,-388.777177
3.920426655,1.500938186,6.868876635,1.397230833,-7.422349305,-391.6064312
3.981071706,1.508067011,6.901500908,1.396021011,-8.026096952,-394.3694151
