cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form
28,"[300,500)","[3,3.25)",1191475,461238,730237,40922,0.12107494622606062,43.47639258630079,0.0,0.31718868763165603,0.39609426259994507,0.25069257616996765,0.6196183562278748,1556.2972972972973,,,0.0,52,9100,269950.0,337989,120918,crab_roi_local,dec_sideband,False,False,direct_expectation
29,"[300,500)","[3.25,3.5)",782322,272242,510080,22991,0.11641366319989468,43.47639258630079,0.0,0.20826596318460094,0.4156150817871094,0.2630475163459778,0.7103378176689148,906.8648648648648,,,0.0,52,9100,158557.0,197494,72925,crab_roi_local,dec_sideband,False,False,direct_expectation
30,"[300,500)","[3.5,3.75)",313446,94566,218880,8128,0.1188286720954372,43.47639258630079,0.0,0.08344407174585455,0.6477468013763428,0.4099663496017456,0.7223257422447205,734.1116642958749,,,0.0,124,9100,54850.0,68401,25198,crab_roi_local,dec_sideband,False,False,direct_expectation
31,"[300,500)","[3.75,4.0)",133652,38954,94698,3360,0.12139605462822459,43.47639258630079,0.0,0.035580186306339696,0.9900724291801453,0.6266281008720398,0.6642460227012634,765.4319582740635,,,0.0,308,9100,22292.0,27678,10363,crab_roi_local,dec_sideband,False,False,direct_expectation
32,"[300,500)","[4.0,4.25)",52626,15587,37039,2089,0.19570919992505154,43.47639258630079,0.0,0.014009838121071387,1.2538275718688965,0.7935617566108704,0.6733294129371643,443.3915441176471,,,0.0,492,8388,7855.0,10674,4151,crab_roi_local,dec_sideband,False,False,direct_expectation
33,"[300,500)","[4.25,4.5)",20712,6069,14643,1101,0.27628607277289835,43.47639258630079,0.0,0.005513848044001645,1.4458905458450317,0.9151206016540527,0.6463560461997986,229.3448275862069,,,0.0,648,7732,2643.0,3985,1620,crab_roi_local,dec_sideband,False,False,direct_expectation
34,"[300,500)","[4.5,4.75)",8442,2326,6116,525,0.36382536382536385,43.47639258630079,0.0,0.0022473882380968464,1.646765112876892,1.0422563552856445,0.6165552139282227,104.22,,,0.0,848,6944,825.0,1443,642,crab_roi_local,dec_sideband,False,False,direct_expectation
35,"[300,500)","[4.75,5.0)",3006,798,2208,217,0.4758771929824561,43.47639258630079,0.0,0.0008002427201752098,1.8282259702682495,1.1571050882339478,0.5390918254852295,33.09704498400151,,,0.0,1044,6156,206.0,456,244,crab_roi_local,dec_sideband,False,False,direct_expectation
36,"[300,500)",>=5,1579,381,1198,108,0.5320197044334976,43.47639258630079,0.0,0.0004203537109636248,2.085844039916992,1.3201544284820557,0.33565467596054077,24.778676470588238,,,0.0,1372,4912,79.0,203,129,crab_roi_local,dec_sideband,False,False,direct_expectation
37,"[500,800)","[3,3.25)",166432,68794,97638,6322,0.12342111941901099,43.47639258630079,0.0,0.04430671869733883,0.34108540415763855,0.21587683260440826,0.6288517117500305,144.72972972972974,,,0.0,32,9100,40790.0,51223,17411,crab_roi_local,dec_sideband,False,False,direct_expectation
