tau,npts,chi2,ndof,chi2_ndof,max_abs_pull,max_overlap,group_index,nhit,cells,predE,E50,p16,p84,sigma68,excess,err,model,pull,obs_model_ratio
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,13,"[1100,2000)",66;67,"[3.75,4.0)..[4.0,4.25)",8.958025258457793,6.2503714062997595,13.125368052252684,0.16110283294797512,185.45578455993478,16.203216206669133,174.68303612687845,0.6648524771657583,1.061670261016254
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,14,"[1100,2000)",68;69,"[4.25,4.5)..[4.5,4.75)",18.418943809807256,12.931820861154577,26.43621291199294,0.1552697805218073,51.059945170415524,11.355177445975228,28.82477406016057,1.958152676701329,1.7713909938668602
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,15,"[2000,3000)",81;82;83,"[4.5,4.75)..[5,6)",46.32823054335853,31.260270765976696,72.63878632274192,0.18308792189950296,16.453911220065258,7.7166112238426745,8.057440224846834,1.0881034111547734,2.042076734162559
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,1,"[125,200)",1;2,"[2,2.5)..[2.5,3)",0.4283518106748925,0.22777046771231627,0.7507889631341904,0.2590102330597204,4774.303519480607,344.0635064643145,4964.434630415,-0.5526047004758793,0.9617013567326398
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,2,"[125,200)",3,"[3,3.25)",1.0245178310407024,0.6379131376068546,1.610532200966142,0.20110393306542518,657.0089484061609,135.1554329340624,440.75887127279685,1.6000102433090124,1.49063125265951
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,3,"[200,300)",14;15,"[2.5,3)..[3,3.25)",0.6929635481404217,0.4018300178098392,1.135541028002143,0.22558022681302226,3659.502764741689,162.0940999396903,3480.932419852307,1.1016461731538798,1.0512995724567842
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,4,"[200,300)",16,"[3.25,3.5)",1.745690475523506,1.0996494821568878,2.6621752690168052,0.191991185289901,414.3934613762758,73.63155939285629,250.5074557499089,2.2257576367758833,1.6542160796602419
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,5,"[300,500)",26,"[2.5,3)",0.7212428588868491,0.47679699696898664,1.0614473164413811,0.1737824659946654,825.8236015369974,53.31206616201442,973.7603214634745,-2.7749200242380403,0.8480768658717358
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,6,"[300,500)",27;28,"[3,3.25)..[3.25,3.5)",1.3343585940650757,0.8940083540602181,2.018909360887684,0.17688762230665112,2322.0780403515755,84.99365834959939,2100.3743242532523,2.6084736250133207,1.1055543831108037
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,7,"[300,500)",29,"[3.5,3.75)",2.877620428842667,1.840718231635943,4.291006836515129,0.18378594629749423,332.0461888091163,42.9412832969729,198.80620550697893,3.1028412071590323,1.6702003237894911
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,8,"[300,500)",30,"[3.75,4.0)",5.198551667715338,3.061372893434971,8.056720123706725,0.21012102240389585,105.27744444227983,40.947802817217436,64.27277081772397,1.0013888610236863,1.6379789310911168
0.5,16,66.78964500248878,13,5.137665000191445,4.229447359719536,0.49965864221524603,9,"[500,800)",40;41,"[3.25,3.5)..[3.5,3.75)",2.350555519025096,1.5877814746105643,3.4556351765856563,0.1688685778641441,1121.569821253116,48.0253076902885,1167.6670598549906,-0.9598530612058143,0.9605219328465091
