scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
file,202201,3,23,"[200,300)","[4.25,4.5)",42
file,202201,3,24,"[200,300)","[4.5,4.75)",9
file,202201,3,25,"[200,300)","[4.75,5.0)",3
file,202201,3,26,"[200,300)",>=5,3
file,202201,3,27,"[300,500)","[2,3)",286
file,202201,3,28,"[300,500)","[3,3.25)",1012
file,202201,3,29,"[300,500)","[3.25,3.5)",1209
file,202201,3,30,"[300,500)","[3.5,3.75)",625
file,202201,3,31,"[300,500)","[3.75,4.0)",220
file,202201,3,32,"[300,500)","[4.0,4.25)",71
file,202201,3,33,"[300,500)","[4.25,4.5)",26
file,202201,3,34,"[300,500)","[4.5,4.75)",14
file,202201,3,35,"[300,500)","[4.75,5.0)",4
file,202201,3,36,"[300,500)",>=5,1
file,202201,3,37,"[500,800)","[3,3.25)",65
file,202201,3,38,"[500,800)","[3.25,3.5)",417
file,202201,3,39,"[500,800)","[3.5,3.75)",436
file,202201,3,40,"[500,800)","[3.75,4.0)",174
file,202201,3,41,"[500,800)","[4.0,4.25)",50
file,202201,3,42,"[500,800)","[4.25,4.5)",9
file,202201,3,43,"[500,800)","[4.5,4.75)",3
file,202201,3,44,"[500,800)","[4.75,5.0)",1
file,202201,3,45,"[500,800)",>=5,1
file,202201,3,46,"[800,1100)","[3.25,3.5)",16
file,202201,3,47,"[800,1100)","[3.5,3.75)",101
file,202201,3,48,"[800,1100)","[3.75,4.0)",110
file,202201,3,49,"[800,1100)","[4.0,4.25)",35
file,202201,3,50,"[800,1100)","[4.25,4.5)",14
file,202201,3,51,"[800,1100)","[4.5,4.75)",1
file,202201,3,52,"[800,1100)","[4.75,5.0)",0
file,202201,3,53,"[800,1100)",>=5,0
file,202201,3,54,"[1100,2000)","[3.5,3.75)",16
file,202201,3,55,"[1100,2000)","[3.75,4.0)",44
file,202201,3,56,"[1100,2000)","[4.0,4.25)",39
file,202201,3,57,"[1100,2000)","[4.25,4.5)",24
file,202201,3,58,"[1100,2000)","[4.5,4.75)",15
file,202201,3,59,"[1100,2000)","[4.75,5.0)",8
file,202201,3,60,"[1100,2000)",>=5,3
file,202201,3,61,"[2000,3000)","[4.0,4.25)",0
file,202201,3,62,"[2000,3000)","[4.25,4.5)",1
file,202201,3,63,"[2000,3000)","[4.5,4.75)",3
file,202201,3,64,"[2000,3000)","[4.75,5.0)",7
file,202201,3,65,"[2000,3000)",>=5,31
file,202201,4,1,"[30,60)","[2,3)",20290
file,202201,4,2,"[60,100)","[2,3)",31041
file,202201,4,3,"[60,100)","[3,3.25)",1342
file,202201,4,4,"[60,100)","[3.25,3.5)",685
file,202201,4,5,"[60,100)","[3.5,3.75)",343
file,202201,4,6,"[60,100)","[3.75,4.0)",188
file,202201,4,7,"[100,200)","[2,3)",34410
file,202201,4,8,"[100,200)","[3,3.25)",3403
file,202201,4,9,"[100,200)","[3.25,3.5)",1387
file,202201,4,10,"[100,200)","[3.5,3.75)",719
file,202201,4,11,"[100,200)","[3.75,4.0)",361
file,202201,4,12,"[100,200)","[4.0,4.25)",137
file,202201,4,13,"[100,200)","[4.25,4.5)",59
file,202201,4,14,"[100,200)","[4.5,4.75)",26
file,202201,4,15,"[100,200)","[4.75,5.0)",18
file,202201,4,16,"[100,200)",>=5,9
file,202201,4,17,"[200,300)","[2,3)",5467
file,202201,4,18,"[200,300)","[3,3.25)",2040
file,202201,4,19,"[200,300)","[3.25,3.5)",670
