cell_id,nhit_bin,predE_bin,input_files,events,logE_range_events,valid_events,positive_baseline_weight_events,sumw_baseline,effective_events,core_fit_events,core_fit_effective_events,core_fit_weight_fraction,tail_weight_fraction_above_core_fit,theta_missing_crab_probability_mass,sigma_deg,sigma_mc_weight_deg,sigma_unweighted_deg,sigma_full_rayleigh_deg,r_opt_deg,containment_r_opt,r68_deg,r90_deg,r95_deg,containment_warning,angle_check_warning
11,"[125,200)","[5,6)",8411,19089,19076,18561,18144,542002.0551834106,3501.7868015638387,2780,921.7254678666535,0.17863309206343736,0.8213669079365626,0.0,1.433843066994312,1.4362096228917263,1.4532558003327247,6.10036694808778,2.2654720458510136,0.11356126055559604,7.574001050440404,11.657810122311194,14.54622562769414,True,False
12,"[125,200)",>=6,154,157,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
13,"[200,300)","[2,2.5)",8250,17965,17820,17815,14114,6913381.255083745,315.8463221777808,13888,1243.1684640506903,0.7465909895132641,0.2534090104867359,0.06235884770988026,0.40415445368519615,0.3630301420908537,0.36374017710000706,15.17579875687642,0.6385640368226099,0.5630002455669239,0.8840766951621843,46.037318292983,50.90354348990545,True,False
14,"[200,300)","[2.5,3)",10000,255726,250981,250877,225002,106544947.8385439,10947.62782614254,218435,29412.240521333562,0.8288178801371852,0.17118211986281484,0.0,0.350787608994381,0.31428930823737383,0.31491994174757715,13.150477683975948,0.5542444222111219,0.6497152733310415,0.5932814809268997,38.71220283764855,51.336269004815186,False,False
15,"[200,300)","[3,3.25)",10000,122642,118158,118044,114480,46072345.917634964,21172.244750206977,108468,26629.5394056838,0.8894264297444522,0.11057357025554782,0.0,0.34611909830415244,0.31824032614452924,0.3183879962864365,9.567945142651846,0.5468681753205609,0.7028691821618863,0.5222606927827262,6.40363619011822,36.029854111361686,False,False
16,"[200,300)","[3.25,3.5)",9964,55093,52452,52316,51540,19216262.547560696,16719.2887296052,47634,16157.610985516581,0.8489395771183239,0.1510604228816761,0.0,0.4612311255955477,0.3729926942548536,0.37414538268461367,9.47104885962498,0.7287451784409654,0.6853578214556817,0.7182450296693096,23.379952575407966,36.181109716720265,False,False
17,"[200,300)","[3.5,3.75)",9279,26172,24778,24607,23863,8386032.95913887,14886.743524397772,21451,13481.160353712294,0.8583019497191033,0.14169805028089666,0.0,0.6538428344546289,0.5445280046439336,0.548437911801524,9.728433709832334,1.0330716784383138,0.6527048784100599,1.1145181668538962,17.233098921994728,38.69216060272372,False,False
18,"[200,300)","[3.75,4.0)",8088,16631,16028,15866,15263,4775723.103061676,11114.670111042418,13617,10038.797156257713,0.8706509739211322,0.12934902607886778,0.0,0.823414183594493,0.7804842105916907,0.78553503663088,7.7508466379860295,1.3009944100792992,0.6388174762636298,1.440394608233308,4.7444590252195535,25.606615603197614,False,False
19,"[200,300)","[4.0,4.25)",7348,13247,12917,12772,12282,2967275.4996700287,7954.855840431752,10662,7262.661478461177,0.8220000790485954,0.1779999209514046,0.0,0.9659060433085505,0.9605104831735652,0.9702400586948571,7.047228853173742,1.5261315484275098,0.5858429269906048,1.877742617376771,5.66056387640746,19.865301296465102,True,False
20,"[200,300)","[4.25,4.5)",6334,10121,10008,9896,9622,1739903.8433780668,5603.582793004045,7815,4892.129898478942,0.766133901977105,0.23386609802289504,0.0,1.105849779818469,1.0824806772904252,1.0880921083118276,5.50893591345055,1.747242652113181,0.5253807287666231,2.4286266054431414,5.037863809242188,10.6612588562863,True,False
