label,mode,fraction,cell_id,nhit_bin,predE_bin,excess,model,pull
left_0.10,left,0.1,83,"[2000,3000)","[5,6)",8.135495447995465,0.36579488612570166,1.3351557139003907
left_0.20,left,0.2,1,"[125,200)","[2,2.5)",1117.3280891682298,1660.7615373066626,-2.669196693388018
left_0.20,left,0.2,2,"[125,200)","[2.5,3)",3656.9754303123773,3153.6992296550247,1.8145179998197942
left_0.20,left,0.2,3,"[125,200)","[3,3.25)",657.0089484061609,1073.7813145481784,-3.083652333423742
left_0.20,left,0.2,14,"[200,300)","[2.5,3)",2347.257471674584,2283.9729764058025,0.4631197117350784
left_0.20,left,0.2,15,"[200,300)","[3,3.25)",1312.2452930671052,1245.4504042491112,0.7661014872434073
left_0.20,left,0.2,16,"[200,300)","[3.25,3.5)",414.3934613762758,375.1928313633114,0.5323889692979613
left_0.20,left,0.2,26,"[300,500)","[2.5,3)",825.8236015369974,822.6142415822605,0.06019950427326731
left_0.20,left,0.2,27,"[300,500)","[3,3.25)",1521.580954995197,1375.5716664976555,2.149889339989671
left_0.20,left,0.2,28,"[300,500)","[3.25,3.5)",800.4970853563786,861.1253432277641,-1.186396431407812
left_0.20,left,0.2,29,"[300,500)","[3.5,3.75)",332.0461888091163,297.70467552835356,0.7997318813987008
left_0.20,left,0.2,30,"[300,500)","[3.75,4.0)",105.27744444227983,85.84348806054885,0.4746031543738784
left_0.20,left,0.2,40,"[500,800)","[3.25,3.5)",758.121180063778,699.7218935348853,1.4824451663343579
left_0.20,left,0.2,41,"[500,800)","[3.5,3.75)",363.4486411893382,454.0075806526247,-3.2967569095477955
left_0.20,left,0.2,42,"[500,800)","[3.75,4.0)",79.48698952925884,142.71658907779374,-3.175350791916425
left_0.20,left,0.2,52,"[800,1100)","[3.25,3.5)",142.15595782924356,123.8850674154552,1.2734754058212665
left_0.20,left,0.2,53,"[800,1100)","[3.5,3.75)",207.45185401129478,199.14195210966167,0.4425747975952393
left_0.20,left,0.2,54,"[800,1100)","[3.75,4.0)",96.97117325892498,112.85788865611829,-1.1041261733605168
left_0.20,left,0.2,55,"[800,1100)","[4.0,4.25)",66.936237567919,32.15954472971754,2.9075250044745737
left_0.20,left,0.2,65,"[1100,2000)","[3.5,3.75)",44.923352982363944,60.24277833483811,-1.9288931690297544
left_0.20,left,0.2,66,"[1100,2000)","[3.75,4.0)",110.29316035381666,88.23110644569026,1.7911970314939853
left_0.20,left,0.2,67,"[1100,2000)","[4.0,4.25)",75.16262420611811,59.671809042007254,1.4714013649703332
left_0.20,left,0.2,68,"[1100,2000)","[4.25,4.5)",23.9886827604404,23.75930492142476,0.028669695131131847
left_0.20,left,0.2,69,"[1100,2000)","[4.5,4.75)",27.071262409975123,5.839471581368567,2.6349243291373576
