mode,fraction,prior_sigma,chi2,ndof,chi2_over_ndof,penalty,profile_chi2,profile_chi2_over_ndof,phi0,alpha,beta,max_abs_pull
left,0.11,0.1,70.5165390168615,23,3.0659364789939785,1.2099999999999997,71.7265390168615,3.118545174646152,2.324353760290232e-12,2.794939721221469,0.12857131279927939,3.353881330974239
left,0.12,0.1,69.38311882681054,23,3.0166573402961108,1.44,70.82311882681054,3.0792660359482844,2.318609265877679e-12,2.7975821359211808,0.1272891944581328,3.301422097652224
left,0.13,0.1,68.80964677909962,23,2.9917237730043316,1.6900000000000002,70.49964677909962,3.0652020338738963,2.312366572090433e-12,2.8003582232875672,0.12606089686391245,3.2503456808039237
left,0.14,0.1,68.80251536671821,23,2.991413711596444,1.9600000000000004,70.7625153667182,3.0766311029007913,2.3063504541564457e-12,2.802747194515049,0.12504672806990638,3.1991600555104913
left,0.15,0.1,69.36806243432031,23,3.0160027145356656,2.2499999999999996,71.61806243432031,3.113828801492187,2.3001107573931675e-12,2.8051448851849754,0.12395689709881635,3.1484531769902966
left,0.16,0.1,70.5112706369721,23,3.065707418998787,2.5599999999999996,73.0712706369721,3.177011766824874,2.2932756873295156e-12,2.807667331671699,0.12298321273820832,3.0994498058117332
left,0.17,0.1,72.2363409876795,23,3.1407104777251957,2.8899999999999997,75.1263409876795,3.266362651638239,2.286231079179584e-12,2.809982029921677,0.12199669071041945,3.050610963997257
left,0.18,0.1,74.54653714131314,23,3.241153788752745,3.2399999999999993,77.78653714131313,3.382023353970136,2.2789224633878588e-12,2.8121736729786377,0.12103646735920219,3.0942408126543826
left,0.19,0.1,77.44423504881259,23,3.3671406542961995,3.61,81.05423504881259,3.5240971760353297,2.2718502273832826e-12,2.814074947247422,0.120115067123963,3.2003684455774004
left,0.2,0.1,80.93064718542907,23,3.518723790670829,4.0,84.93064718542907,3.69263683414909,2.2635235668446463e-12,2.8162206299908354,0.11922425403720505,3.2967569095477955
left,0.21,0.1,85.00633118169759,23,3.6959274426825037,4.409999999999998,89.41633118169759,3.8876665731172864,2.2556646029482982e-12,2.818237056529481,0.11850757122029747,3.3954623055764572
left,0.22,0.1,89.6705714580907,23,3.8987204981778567,4.839999999999999,94.51057145809071,4.109155280786553,2.2472013096866342e-12,2.8199418748365437,0.11758225909285987,3.5540643673650223
left,0.23,0.1,94.92186310094007,23,4.127037526127829,5.289999999999999,100.21186310094006,4.3570375261278285,2.2387262504137833e-12,2.8212383468479914,0.11665164542210125,3.7847543087501947
left,0.24,0.1,100.75744830088205,23,4.38075862177748,5.76,106.51744830088205,4.631193404386176,2.2298191790506847e-12,2.823168679334722,0.11600851981662673,4.016268074159876
left,0.25,0.1,107.17389280933297,23,4.659734469970998,6.25,113.42389280933297,4.9314736004057815,2.2207610061941503e-12,2.8246052591814728,0.11525079853862498,4.243717637594308
